ID,Project,Developer,Location,Type,Bedrooms,LandSqm,BuildSqm,PriceUSD,PricePerSqm,OwnershipType,OwnershipDetail,OwnershipNote,LeaseYears,Extension,Stage,CompletionDate,PaymentPlan,Management,DeveloperROI,ModelROI,ConservativeROI,ROISource,ADRBase,OccupancyBase,ExpensesRatio,LegalScore,LocationLiquidityScore,LeaseExtensionScore,StageRiskScore,PaymentCashflowScore,UniquenessScore,WhyThisObject,FitsClient,RedFlags,SalesNote,PhotoPrefix,Status,UpdatedAt,PresentationURL
TB-01,Tumbak Bayuh Private Suite,Kaluna,Tumbak Bayuh,Вилла,1,,35.0,95000,2714,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Строится,Q2 2027,Рассрочка / ипотека (взнос ~$57k),Своя,0.11,0.1509,0.0959,Our model: ADR×occupancy×365×net margin/price; occupancy provided,84.0,0.85,0.45,68,78,72,66,82,66,Очень низкий вход ($95k–150k); рядом Чангу/Переренан; Bank Guarantee (Kaluna),"Подходит инвестору, которому нужен низкий вход до $200k, локация Tumbak Bayuh и сценарий: готов принять off-plan риск ради цены/потенциала.",PBG только номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",TB,Available,2026-06-29,https://drive.google.com/drive/folders/16y4Z4gVFLL2FJtSbrilChqEmSbwDotS6
TB-02,Tumbak Bayuh Private Suite,Kaluna,Tumbak Bayuh,Вилла,2,,69.5,150000,2158,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Строится,Q2 2027,Рассрочка / ипотека (взнос ~$50k),Своя,0.125,0.132,0.0838,Our model: ADR×occupancy×365×net margin/price; occupancy provided,116.0,0.85,0.45,68,78,72,66,82,66,Очень низкий вход ($95k–150k); рядом Чангу/Переренан; Bank Guarantee (Kaluna),"Подходит инвестору, которому нужен низкий вход до $200k, локация Tumbak Bayuh и сценарий: готов принять off-plan риск ради цены/потенциала.",PBG только номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",TB,Available,2026-06-29,https://drive.google.com/drive/folders/16y4Z4gVFLL2FJtSbrilChqEmSbwDotS6
AL-01,Villa Alicante,DreamHouse,Ubud,Вилла,2,295.0,151.5,283400,1871,Leasehold,Leasehold 22 years + Да,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",22,Да,Готово,Q3 2025,100% сразу,Bali Legends,0.068,0.0724,0.0485,Our model: ADR×occupancy×365×net margin/price; occupancy provided,142.0,0.72,0.45,88,70,48,92,82,74,Готово и работает в центре Убуда; факт-доходность; большой участок земли,"Подходит инвестору, которому нужен средний чек до $350k, локация Ubud и сценарий: хочет снизить строительный риск.",Низкий факт-ROI 6.8% (реальность ниже глянца); короткий лизхолд 22 г; одна вилла,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",AL,Available,2026-06-29,https://drive.google.com/file/d/1nV8y-wxX8m925MNLxAtS7wmyBuLj9ioR/view
V-02,Vasana,Kaluna,Tabanan/Kedungu,Вилла,2,120.0,105.0,195000,1857,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Офплан,1 год после покупки,Рассрочка,Своя,0.11,0.0898,0.0566,Our model: ADR×occupancy×365×net margin/price; occupancy provided,109.0,0.8,0.45,88,64,72,50,82,95,"Океан-фронт с видом (уникальный сайт); курорт Ciputra, рядом Nuanu; опция freehold","Подходит инвестору, которому нужен низкий вход до $200k, локация Tabanan/Kedungu и сценарий: готов сначала добрать DD по объекту.",Стройка начнется только после покупки,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",V,Available,2026-06-29,
V-01,Vasana,Kaluna,Tabanan/Kedungu,Вилла,3,200.0,135.0,245000,1815,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Офплан,1 год после покупки,Рассрочка,Своя,0.12,0.0819,0.0516,Our model: ADR×occupancy×365×net margin/price; occupancy provided,125.0,0.8,0.45,88,64,72,50,82,95,"Океан-фронт с видом (уникальный сайт); курорт Ciputra, рядом Nuanu; опция freehold","Подходит инвестору, которому нужен средний чек до $350k, локация Tabanan/Kedungu и сценарий: готов сначала добрать DD по объекту.",Стройка начнется только после покупки,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",V,Available,2026-06-29,
SF-01,Surfside,Surfside,Uluwatu/Bingin,Апартаменты,1,,48.0,159000,3312,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Скоро,Q3 2026,Рассрочка,Есть,0.11,0.1315,0.0841,Our model: ADR×occupancy×365×net margin/price; occupancy market default,137.0,0.76,0.45,88,84,66,82,82,66,Топ-локация Улувату/Bingin; сдача скоро (Q3'26); Доход «гарантия» 6/8/10%,"Подходит инвестору, которому нужен низкий вход до $200k, локация Uluwatu/Bingin и сценарий: готов сначала добрать DD по объекту.",PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",SF,Available,2026-06-29,
SF-02,Surfside,Surfside,Uluwatu/Bingin,Апартаменты,1,,65.0,199000,3062,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Скоро,Q3 2026,Рассрочка,Есть,0.11,0.1434,0.0917,Our model: ADR×occupancy×365×net margin/price; occupancy market default,187.0,0.76,0.45,88,84,66,82,82,66,Топ-локация Улувату/Bingin; сдача скоро (Q3'26); Доход «гарантия» 6/8/10%,"Подходит инвестору, которому нужен низкий вход до $200k, локация Uluwatu/Bingin и сценарий: готов сначала добрать DD по объекту.",PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",SF,Available,2026-06-29,
SF-04,Surfside,Surfside,Uluwatu/Bingin,Вилла,2,,165.0,389000,2358,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Скоро,Q3 2026,Рассрочка,Своя,0.11,0.1428,0.0913,Our model: ADR×occupancy×365×net margin/price; occupancy market default,364.0,0.76,0.45,88,84,66,82,82,66,Топ-локация Улувату/Bingin; сдача скоро (Q3'26); Доход «гарантия» 6/8/10%,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Uluwatu/Bingin и сценарий: готов сначала добрать DD по объекту.",PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",SF,Available,2026-06-29,
SF-05,Surfside,Surfside,Uluwatu/Bingin,Вилла,2,,219.0,479000,2187,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Скоро,Q3 2026,Рассрочка,Своя,0.11,0.11,0.0825,Needs ADR/occupancy; temporary from supplied ROI,,,0.45,88,84,66,82,82,66,Топ-локация Улувату/Bingin; сдача скоро (Q3'26); Доход «гарантия» 6/8/10%,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Uluwatu/Bingin и сценарий: готов сначала добрать DD по объекту.",PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",SF,Available,2026-06-29,
SF-03,Surfside,Surfside,Uluwatu/Bingin,Вилла,3,,105.0,309000,2943,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Скоро,Q3 2026,Рассрочка,Своя,0.11,0.1348,0.0862,Our model: ADR×occupancy×365×net margin/price; occupancy market default,273.0,0.76,0.45,88,84,66,82,82,66,Топ-локация Улувату/Bingin; сдача скоро (Q3'26); Доход «гарантия» 6/8/10%,"Подходит инвестору, которому нужен средний чек до $350k, локация Uluwatu/Bingin и сценарий: готов сначала добрать DD по объекту.",PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",SF,Available,2026-06-29,
BN-01,La Casa Espanola II,Rumah Archipelago,Uluwatu/Bingin,Вилла,1,80.0,107.0,200000,1869,Leasehold,Leasehold 29 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",29,Уточнить,Строится,Q2 2027,Рассрочка,Есть,0.131,0.1196,0.0754,Our model: ADR×occupancy×365×net margin/price; occupancy provided,149.0,0.8,0.45,88,84,66,66,82,81,Топ-локация Улувату/Bingin (высокий спрос); ROI 13–17%; низкий вход 1BR $200k,"Подходит инвестору, которому нужен низкий вход до $200k, локация Uluwatu/Bingin и сценарий: готов принять off-plan риск ради цены/потенциала.",Офф-план (сдача Q2'27); PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",BN,Available,2026-06-29,
BN-03,La Casa Espanola II,Rumah Archipelago,Uluwatu/Bingin,Вилла,2,110.0,172.0,290000,1686,Leasehold,Leasehold 29 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",29,Уточнить,Строится,Q2 2027,Рассрочка,Есть,0.132,0.1108,0.0698,Our model: ADR×occupancy×365×net margin/price; occupancy provided,200.0,0.8,0.45,88,84,66,66,82,81,Топ-локация Улувату/Bingin (высокий спрос); ROI 13–17%; низкий вход 1BR $200k,"Подходит инвестору, которому нужен средний чек до $350k, локация Uluwatu/Bingin и сценарий: готов принять off-plan риск ради цены/потенциала.",Офф-план (сдача Q2'27); PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",BN,Available,2026-06-29,
BN-04,La Casa Espanola II,Rumah Archipelago,Uluwatu/Bingin,Вилла,3,118.0,191.0,320000,1675,Leasehold,Leasehold 29 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",29,Уточнить,Строится,Q2 2027,Рассрочка,Есть,0.146,0.1405,0.0885,Our model: ADR×occupancy×365×net margin/price; occupancy provided,280.0,0.8,0.45,88,84,66,66,82,81,Топ-локация Улувату/Bingin (высокий спрос); ROI 13–17%; низкий вход 1BR $200k,"Подходит инвестору, которому нужен средний чек до $350k, локация Uluwatu/Bingin и сценарий: готов принять off-plan риск ради цены/потенциала.",Офф-план (сдача Q2'27); PBG номер,"Можно показывать как доходный вариант, но обязательно разделять developer ROI, model ROI и conservative ROI.",BN,Available,2026-06-29,
AV-01,Aravita Residence,HQC,Nusa Dua,Вилла,1,45.0,51.0,196000,3843,Leasehold,Leasehold 31 years + +30 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",31,+30 лет,Офплан,Q3 2028,"Рассрочка 2.5 года, взнос 35%",Своя,0.0865,0.0802,0.0513,Our model: ADR×occupancy×365×net margin/price; occupancy provided,87.0,0.9,0.45,88,78,82,50,82,89,"Нуса-Дуа, 2 мин до пляжа Sawangan; 61 год суммарно; консервативная модель, опытный застройщик","Подходит инвестору, которому нужен низкий вход до $200k, локация Nusa Dua и сценарий: готов сначала добрать DD по объекту.",Низкий ROI 7.5–8.6%; долгий офф-план (сдача 2028); доход «гарантия» 6% на 2 года,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",AV,Available,2026-06-29,https://drive.google.com/file/d/1iI4OP0nrWFzRtXLwxeE5zndFl6WOu4nX/view
AV-02,Aravita Residence,HQC,Nusa Dua,Вилла,2,45.0,90.0,320000,3556,Leasehold,Leasehold 31 years + +30 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",31,+30 лет,Офплан,Q3 2028,"Рассрочка 2.5 года, взнос 35%",Своя,0.0765,0.0683,0.0437,Our model: ADR×occupancy×365×net margin/price; occupancy provided,121.0,0.9,0.45,88,78,82,50,82,89,"Нуса-Дуа, 2 мин до пляжа Sawangan; 61 год суммарно; консервативная модель, опытный застройщик","Подходит инвестору, которому нужен средний чек до $350k, локация Nusa Dua и сценарий: готов сначала добрать DD по объекту.",Низкий ROI 7.5–8.6%; долгий офф-план (сдача 2028); доход «гарантия» 6% на 2 года,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",AV,Available,2026-06-29,https://drive.google.com/file/d/1iI4OP0nrWFzRtXLwxeE5zndFl6WOu4nX/view
AV-03,Aravita Residence,HQC,Nusa Dua,Вилла,3,50.0,121.0,398000,3289,Leasehold,Leasehold 31 years + +30 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",31,+30 лет,Офплан,Q3 2028,"Рассрочка 2.5 года, взнос 35%",Своя,0.0753,0.0667,0.0427,Our model: ADR×occupancy×365×net margin/price; occupancy provided,147.0,0.9,0.45,88,78,82,50,82,89,"Нуса-Дуа, 2 мин до пляжа Sawangan; 61 год суммарно; консервативная модель, опытный застройщик","Подходит инвестору, которому нужен клиент с большим бюджетом, локация Nusa Dua и сценарий: готов сначала добрать DD по объекту.",Низкий ROI 7.5–8.6%; долгий офф-план (сдача 2028); доход «гарантия» 6% на 2 года,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",AV,Available,2026-06-29,https://drive.google.com/file/d/1iI4OP0nrWFzRtXLwxeE5zndFl6WOu4nX/view
AV-04,Aravita Residence,HQC,Nusa Dua,Вилла,4,54.0,173.0,477000,2757,Leasehold,Leasehold 31 years + +30 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",31,+30 лет,Офплан,Q3 2028,"Рассрочка 2.5 года, взнос 35%",Своя,0.0795,0.0693,0.0444,Our model: ADR×occupancy×365×net margin/price; occupancy provided,183.0,0.9,0.45,88,78,82,50,82,89,"Нуса-Дуа, 2 мин до пляжа Sawangan; 61 год суммарно; консервативная модель, опытный застройщик","Подходит инвестору, которому нужен клиент с большим бюджетом, локация Nusa Dua и сценарий: готов сначала добрать DD по объекту.",Низкий ROI 7.5–8.6%; долгий офф-план (сдача 2028); доход «гарантия» 6% на 2 года,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",AV,Available,2026-06-29,https://drive.google.com/file/d/1iI4OP0nrWFzRtXLwxeE5zndFl6WOu4nX/view
FW-01,Fairway,Fairway,Bedugul,Вилла,2,827.0,142.0,491189,3459,Freehold / Hak Milik,Freehold / Hak Milik — structure needs legal confirmation,"For foreign investors, direct Hak Milik is generally not available. Check if the transaction is via Indonesian nominee, PT PMA/HGB, Hak Pakai, or another legal structure before deposit.",80,Да,Офплан,"1,5 года после покупки",Рассрочка,Своя,0.133,0.133,0.0998,Needs ADR/occupancy; temporary from supplied ROI,,,0.45,88,48,90,50,82,95,HGB 80 лет (долгий титул); элитный гольф-клуб + премиум-вид; ROI 13.3%; земля включена,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Bedugul и сценарий: готов сначала добрать DD по объекту.",Стройка начнется только после покупки,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",FW,Available,2026-06-29,
FW-02,Fairway,Fairway,Bedugul,Вилла,3,1008.0,177.0,575300,3250,Freehold / Hak Milik,Freehold / Hak Milik — structure needs legal confirmation,"For foreign investors, direct Hak Milik is generally not available. Check if the transaction is via Indonesian nominee, PT PMA/HGB, Hak Pakai, or another legal structure before deposit.",80,Да,Офплан,"1,5 года после покупки",Рассрочка,Своя,0.133,0.133,0.0998,Needs ADR/occupancy; temporary from supplied ROI,,,0.45,88,48,90,50,82,95,HGB 80 лет (долгий титул); элитный гольф-клуб + премиум-вид; ROI 13.3%; земля включена,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Bedugul и сценарий: готов сначала добрать DD по объекту.",Стройка начнется только после покупки,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",FW,Available,2026-06-29,
PR-01,Prana Virgin,Prana Virgin,Karangasem,Вилла,1,365.0,50.0,117000,2340,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Строится,Q1 2027,Рассрочка,Есть,0.128,0.1639,0.0999,Our model: ADR×occupancy×365×net margin/price; occupancy provided,147.0,0.65,0.45,88,52,66,66,82,95,"Океан-фронт, вид на океан/Гили (уникально); низкий вход ($117–139k); рассрочка","Подходит инвестору, которому нужен низкий вход до $200k, локация Karangasem и сценарий: готов принять off-plan риск ради цены/потенциала.",Удалённый восток (Karangasem) ; PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",PR,Available,2026-06-29,
PR-02,Prana Virgin,Prana Virgin,Karangasem,Вилла,2,365.0,70.0,139000,1986,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Строится,Q1 2027,Рассрочка,Есть,0.128,0.1643,0.1001,Our model: ADR×occupancy×365×net margin/price; occupancy provided,175.0,0.65,0.45,88,52,66,66,82,95,"Океан-фронт, вид на океан/Гили (уникально); низкий вход ($117–139k); рассрочка","Подходит инвестору, которому нужен низкий вход до $200k, локация Karangasem и сценарий: готов принять off-plan риск ради цены/потенциала.",Удалённый восток (Karangasem) ; PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",PR,Available,2026-06-29,
ML-01,Melasti Villas,Lyvin,Melasti,Вилла,1,,151.0,539601,3574,Leasehold,Leasehold 37 years + +50 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",37,+50 лет,Офплан,Q1 2028,Рассрочка,Своя,0.112,0.1246,0.0772,Our model: ADR×occupancy×365×net margin/price; occupancy market default,465.0,0.72,0.45,88,76,88,50,82,91,"премиум локация, лизхолд более 30 лет и 87 лет суммарно; рядом работающая 1-я очередь","Подходит инвестору, которому нужен клиент с большим бюджетом, локация Melasti и сценарий: готов сначала добрать DD по объекту.",ROI 1BR ещё не подтверждён фактом; высокий чек $540k,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",ML,Available,2026-06-29,
